"Windpark-ID","Name des Windparks","Betreiber","Eigentuemergesellschaft","Bundesland","Landkreis/Region","PLZ","Ort","Geokoordinaten","Lagebeschreibung","Anzahl WEA","Hersteller/Modell","Nennleistung pro WEA (kW)","Gesamtleistung (MW)","Nabenhoehe (m)","Rotordurchmesser (m)","Baujahr","Inbetriebnahmedatum (TT.MM.JJJJ)","Technologie-Typ","EEG-Foerderende (TT.MM.JJJJ)","Netzanschlusspunkt","PPA-Vertraege","Genehmigungen","Wartungsvertrag","Aktueller Status","Repowering-Datum (TT.MM.JJJJ)","Geplante Stilllegung (TT.MM.JJJJ)","Verfuegbarkeitsquote (%)","Produzierte Jahresenergiemenge (MWh)","Zustaendiger Netzbetreiber","Zustaendige Kommune/Behoerde","Notfall-Kontakt","Datenverantwortlicher","Bemerkungen","Dokumentenlinks"
"WP_1001","Windpark Hohe Marsch","GreenEnergy GmbH","Windkraft AG","Niedersachsen","Landkreis Cuxhaven","21762","Osterbruch","53.7765° N, 8.8950° E","In direkter Naehe zur Bundesstrasse B73","12","Enercon E-115","3000","36","135","115","2018","15.03.2018","Onshore","15.03.2038","UW Cuxhaven Ost","5-Jahres-PPA mit Energieversorger X","Genehmigungsnr. 12/45/6789","Enercon, bis 31.12.2030","in Betrieb","","15.03.2040","97.5","85000","TenneT","Gemeinde Nordleda, Landkreis Cuxhaven","+49 40 1234567","Datenmanagement - Max Mustermann","Zugang nur mit Genehmigung, Zufahrt ueber Privatweg","\\Server\\WindparkHoheMarsch\\Dokumente"
"WP_1002","Windpark OstseeBlick","NordWind AG","EnergieNord GmbH","Schleswig-Holstein","Kreis Nordfriesland","25813","Husum","54.4804° N, 9.0556° E","Nahe der Küstenlinie, windreiche Zone","15","Vestas V112","3300","49.5","119","112","2019","20.06.2019","Onshore","20.06.2039","UW Husum Nord","10-Jahres-PPA mit Stadtwerke X","Genehmigungsnr. 14/89/2345","Vestas Service, bis 31.12.2031","in Betrieb","","","96.8","90000","TenneT","Stadt Husum","+49 48 41234567","Datenmanagement - Anna Musterfrau","Zufahrt nur ueber Landstrasse L123","\\Server\\WindparkOstseeBlick\\Dokumente"
"WP_1003","Windpark Spreewald","SolarWind GmbH","Green Investments AG","Brandenburg","Dahme-Spreewald","15907","Lübben","51.9467° N, 13.8962° E","Am Rand des Biosphärenreservats, besondere Auflagen","8","Siemens SWT-3.6","3600","28.8","125","120","2020","10.09.2020","Onshore","10.09.2040","UW Lübben","3-Jahres-PPA mit Oekostromanbieter Y","Genehmigungsnr. 15/67/8901","Siemens Service, bis 31.12.2032","in Betrieb","","","98.2","72000","50Hertz","Landkreis Dahme-Spreewald","+49 35 46234567","Datenmanagement - Sabine Beispiel","Befahrbarkeit bei Hochwasser eingeschraenkt","\\Server\\WindparkSpreewald\\Dokumente"
"WP_1004","Windpark Nordhorn","Energie Westfalen GmbH","Wind und Sonne e.V.","Nordrhein-Westfalen","Kreis Borken","48527","Nordhorn","52.4321° N, 7.0683° E","In der Naehe zur niederlaendischen Grenze, guenstige Windverhaeltnisse","10","GE 3.8-130","3800","38.0","137","130","2021","01.11.2021","Onshore","01.11.2041","UW Nordhorn Sued","5-Jahres-PPA mit Regionalversorger Z","Genehmigungsnr. 16/12/3456","GE Service, bis 31.12.2035","in Betrieb","","","95.5","78000","Amprion","Stadt Nordhorn","+49 59 21234567","Datenmanagement - Peter Test","Strassenbauarbeiten im Zuliefergebiet","\\Server\\WindparkNordhorn\\Dokumente"
"WP_1005","Windpark Schwarzwald","Energie Baden-Württemberg AG","Windkraft GmbH","Baden-Württemberg","Ortenaukreis","77723","Gengenbach","48.4050° N, 8.0028° E","In den Bergen, schwierige Wetterbedingungen","6","Nordex N117","2500","15.0","141","117","2022","15.05.2022","Onshore","15.05.2042","UW Gengenbach","3-Jahres-PPA mit Stadtwerke Y","Genehmigungsnr. 17/34/5678","Nordex Service, bis 31.12.2033","in Betrieb","","","96.0","70000","Netze BW","Landratsamt Ortenaukreis","+49 78 11234567","Datenmanagement - Julia Muster","Zugang nur mit Genehmigung, Gebirgslage","\\Server\\WindparkSchwarzwald\\Dokumente"
"WP_1006","Windpark Sonnental","SolarWind GmbH","Green Windpower AG","Hessen","Kreis Darmstadt-Dieburg","64289","Darmstadt","49.8728° N, 8.6512° E","Ebene Fläche mit guter Verkehrsanbindung","8","Vestas V150","4000","32.0","145","150","2023","01.02.2023","Onshore","01.02.2043","UW Darmstadt Zentrum","5-Jahres-PPA mit Ökostromanbieter A","Genehmigungsnr. 18/56/9012","Vestas Service, bis 31.12.2034","in Betrieb","","","97.0","68000","TenneT","Stadt Darmstadt","+49 61 51234567","Datenmanagement - Julia Beispiel","Zufahrtswege teilweise unbefestigt","\\Server\\WindparkSonnental\\Dokumente"
"WP_1007","Windpark Bergwiese","GreenEnergy GmbH","Kraftwerk Solutions AG","Bayern","Landkreis Oberallgäu","87527","Sonthofen","47.5178° N, 10.2760° E","Bergige Region, erschwerte Baubedingungen","5","Enercon E-126","3500","17.5","135","126","2023","15.07.2023","Onshore","15.07.2043","UW Sonthofen Süd","7-Jahres-PPA mit Energieversorger B","Genehmigungsnr. 19/78/3452","Enercon, bis 31.12.2036","in Betrieb","","","96.2","54000","Amprion","Stadt Sonthofen","+49 83 21234567","Datenmanagement - Lisa Wind","Winterräumdienst erforderlich","\\Server\\WindparkBergwiese\\Dokumente"
"WP_1008","Windpark Rheinblick","NordWind AG","EnergieNord GmbH","Rheinland-Pfalz","Kreis Mainz-Bingen","55411","Bingen","49.9650° N, 7.8950° E","In der Nähe des Rheins, hohe Luftfeuchtigkeit","12","Siemens SWT-3.6","3600","43.2","125","120","2024","01.12.2024","Onshore","01.12.2044","UW Bingen","3-Jahres-PPA mit Oekostromanbieter C","Genehmigungsnr. 20/90/1234","Siemens Service, bis 31.12.2037","in Betrieb","","","98.5","72000","50Hertz","Stadt Bingen","+49 67 21234567","Datenmanagement - Max Mustermann","Zufahrt nur über Feldweg","\\Server\\WindparkRheinblick\\Dokumente"
"WP_1009","Windpark Elbtal","Energie Sachsen GmbH","Wind und Sonne e.V.","Sachsen","Landkreis Meißen","01662","Meißen","51.1667° N, 13.4833° E","In der Nähe der Elbe, hohe Luftfeuchtigkeit","10","GE 3.8-130","3800","38.0","137","130","2025","15.03.2025","Onshore","15.03.2045","UW Meißen","5-Jahres-PPA mit Regionalversorger D","Genehmigungsnr. 21/23/4567","GE Service, bis 31.12.2038","in Betrieb","","","95.0","78000","Amprion","Stadt Meißen","+49 35 21234567","Datenmanagement - Anna Musterfrau","Z   ugriff nur mit Sicherheitsausrüstung","\\Server\\WindparkElbtal\\Dokumente"
"WP_1010","Windpark Alpenblick","Energie Bayern GmbH","Windkraft GmbH","Bayern","Landkreis Garmisch-Partenkirchen","82467","Garmisch-Partenkirchen","47.4917° N, 11.0950° E","In den Bergen, schwierige Wetterbedingungen","6","Nordex N117","2500","15.0","141","117","2026","01.06.2026","Onshore","01.06.2046","UW Garmisch-Partenkirchen","3-Jahres-PPA mit Stadtwerke E","Genehmigungsnr. 22/45/6789","Nordex Service, bis 31.12.2039","in Betrieb","","","97.0","68000","TenneT","Stadt Garmisch-Partenkirchen","+49 88 21234567","Datenmanagement - Peter Test","Zufahrt nur über Wanderweg","\\Server\\WindparkAlpenblick\\Dokumente"
"WP_1011","Windpark Bodensee","Energie Baden-Württemberg AG","Green Investments AG","Baden-Württemberg","Bodenseekreis","88045","Friedrichshafen","47.6542° N, 9.4800° E","In der Nähe des Bodensees, hohe Luftfeuchtigkeit","8","Vestas V150","4000","32.0","145","150","2027","15.09.2027","Onshore","15.09.2047","UW Friedrichshafen","5-Jahres-PPA mit Ökostromanbieter F","Genehmigungsnr. 23/56/7890","Vestas Service, bis 31.12.2039","in Betrieb","","","98.0","72000","Netze BW","Stadt Friedrichshafen","+49 75 41234567","Datenmanagement - Maria Berg","Zufahrt nur mit Fähre","\\Server\\WindparkBodensee\\Dokumente"
